DateTime,Date,Time,Name,LastModified,Value,RawValue
2021-11-24 14:09:58.489,2021-11-24,14:09:58.489,"Alram_ana1",2021-11-24 14:09:58.483,95.069033530572,95
2021-11-24 14:09:58.489,2021-11-24,14:09:58.489,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:09:58.489,2021-11-24,14:09:58.489,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:09:58.589,2021-11-24,14:09:58.589,"Alram_ana1",2021-11-24 14:09:58.499,100,100
2021-11-24 14:09:58.589,2021-11-24,14:09:58.589,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:09:58.589,2021-11-24,14:09:58.589,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:09:58.689,2021-11-24,14:09:58.689,"Alram_ana1",2021-11-24 14:09:58.499,100,100
2021-11-24 14:09:58.689,2021-11-24,14:09:58.689,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:09:58.689,2021-11-24,14:09:58.689,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:09:58.789,2021-11-24,14:09:58.789,"Alram_ana1",2021-11-24 14:09:58.499,100,100
2021-11-24 14:09:58.789,2021-11-24,14:09:58.789,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:09:58.789,2021-11-24,14:09:58.789,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:09:59.755,2021-11-24,14:09:59.755,"Alram_ana1",2021-11-24 14:09:59.755,95.069033530572,95
2021-11-24 14:09:59.755,2021-11-24,14:09:59.755,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:09:59.755,2021-11-24,14:09:59.755,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:09:59.855,2021-11-24,14:09:59.855,"Alram_ana1",2021-11-24 14:09:59.779,100,100
2021-11-24 14:09:59.855,2021-11-24,14:09:59.855,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:09:59.855,2021-11-24,14:09:59.855,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:09:59.956,2021-11-24,14:09:59.956,"Alram_ana1",2021-11-24 14:09:59.779,100,100
2021-11-24 14:09:59.956,2021-11-24,14:09:59.956,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:09:59.956,2021-11-24,14:09:59.956,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:00.056,2021-11-24,14:10:00.056,"Alram_ana1",2021-11-24 14:09:59.779,100,100
2021-11-24 14:10:00.056,2021-11-24,14:10:00.056,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:00.056,2021-11-24,14:10:00.056,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:07.012,2021-11-24,14:10:07.012,"Alram_ana1",2021-11-24 14:10:07.011,95.069033530572,95
2021-11-24 14:10:07.012,2021-11-24,14:10:07.012,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:07.012,2021-11-24,14:10:07.012,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:07.113,2021-11-24,14:10:07.113,"Alram_ana1",2021-11-24 14:10:07.051,100,100
2021-11-24 14:10:07.113,2021-11-24,14:10:07.113,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:07.113,2021-11-24,14:10:07.113,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:07.212,2021-11-24,14:10:07.212,"Alram_ana1",2021-11-24 14:10:07.051,100,100
2021-11-24 14:10:07.212,2021-11-24,14:10:07.212,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:07.212,2021-11-24,14:10:07.212,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:07.312,2021-11-24,14:10:07.312,"Alram_ana1",2021-11-24 14:10:07.051,100,100
2021-11-24 14:10:07.312,2021-11-24,14:10:07.312,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:07.312,2021-11-24,14:10:07.312,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:07.412,2021-11-24,14:10:07.412,"Alram_ana1",2021-11-24 14:10:07.411,96.6469428007889,97
2021-11-24 14:10:07.412,2021-11-24,14:10:07.412,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:07.412,2021-11-24,14:10:07.412,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:07.739,2021-11-24,14:10:07.739,"Alram_ana1",2021-11-24 14:10:07.739,98.6193293885602,99
2021-11-24 14:10:07.739,2021-11-24,14:10:07.739,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:07.739,2021-11-24,14:10:07.739,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:07.840,2021-11-24,14:10:07.840,"Alram_ana1",2021-11-24 14:10:07.747,100,100
2021-11-24 14:10:07.840,2021-11-24,14:10:07.840,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:07.840,2021-11-24,14:10:07.840,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:07.939,2021-11-24,14:10:07.939,"Alram_ana1",2021-11-24 14:10:07.747,100,100
2021-11-24 14:10:07.939,2021-11-24,14:10:07.939,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:07.939,2021-11-24,14:10:07.939,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:08.595,2021-11-24,14:10:08.595,"Alram_ana1",2021-11-24 14:10:08.595,98.2248520710059,98
2021-11-24 14:10:08.595,2021-11-24,14:10:08.595,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:08.595,2021-11-24,14:10:08.595,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:08.696,2021-11-24,14:10:08.696,"Alram_ana1",2021-11-24 14:10:08.603,100,100
2021-11-24 14:10:08.696,2021-11-24,14:10:08.696,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:08.696,2021-11-24,14:10:08.696,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:08.796,2021-11-24,14:10:08.796,"Alram_ana1",2021-11-24 14:10:08.603,100,100
2021-11-24 14:10:08.796,2021-11-24,14:10:08.796,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:08.796,2021-11-24,14:10:08.796,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:08.896,2021-11-24,14:10:08.896,"Alram_ana1",2021-11-24 14:10:08.603,100,100
2021-11-24 14:10:08.896,2021-11-24,14:10:08.896,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:08.896,2021-11-24,14:10:08.896,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:08.995,2021-11-24,14:10:08.995,"Alram_ana1",2021-11-24 14:10:08.603,100,100
2021-11-24 14:10:08.995,2021-11-24,14:10:08.995,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:08.995,2021-11-24,14:10:08.995,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:09.780,2021-11-24,14:10:09.780,"Alram_ana1",2021-11-24 14:10:09.779,95.4635108481262,95
2021-11-24 14:10:09.780,2021-11-24,14:10:09.780,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:09.780,2021-11-24,14:10:09.780,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:09.881,2021-11-24,14:10:09.881,"Alram_ana1",2021-11-24 14:10:09.811,100,100
2021-11-24 14:10:09.881,2021-11-24,14:10:09.881,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:09.881,2021-11-24,14:10:09.881,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:09.981,2021-11-24,14:10:09.981,"Alram_ana1",2021-11-24 14:10:09.811,100,100
2021-11-24 14:10:09.981,2021-11-24,14:10:09.981,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:09.981,2021-11-24,14:10:09.981,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:10.081,2021-11-24,14:10:10.081,"Alram_ana1",2021-11-24 14:10:09.811,100,100
2021-11-24 14:10:10.081,2021-11-24,14:10:10.081,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:10.081,2021-11-24,14:10:10.081,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:10.915,2021-11-24,14:10:10.915,"Alram_ana1",2021-11-24 14:10:10.915,95.069033530572,95
2021-11-24 14:10:10.915,2021-11-24,14:10:10.915,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:10.915,2021-11-24,14:10:10.915,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:11.016,2021-11-24,14:10:11.016,"Alram_ana1",2021-11-24 14:10:10.939,100,100
2021-11-24 14:10:11.016,2021-11-24,14:10:11.016,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:11.016,2021-11-24,14:10:11.016,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:11.116,2021-11-24,14:10:11.116,"Alram_ana1",2021-11-24 14:10:10.939,100,100
2021-11-24 14:10:11.116,2021-11-24,14:10:11.116,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:11.116,2021-11-24,14:10:11.116,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:11.216,2021-11-24,14:10:11.216,"Alram_ana1",2021-11-24 14:10:10.939,100,100
2021-11-24 14:10:11.216,2021-11-24,14:10:11.216,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:11.216,2021-11-24,14:10:11.216,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:11.316,2021-11-24,14:10:11.316,"Alram_ana1",2021-11-24 14:10:10.939,100,100
2021-11-24 14:10:11.316,2021-11-24,14:10:11.316,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:11.316,2021-11-24,14:10:11.316,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:11.416,2021-11-24,14:10:11.416,"Alram_ana1",2021-11-24 14:10:10.939,100,100
2021-11-24 14:10:11.416,2021-11-24,14:10:11.416,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:11.416,2021-11-24,14:10:11.416,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:12.011,2021-11-24,14:10:12.011,"Alram_ana1",2021-11-24 14:10:12.011,96.4497041420118,96
2021-11-24 14:10:12.011,2021-11-24,14:10:12.011,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:12.011,2021-11-24,14:10:12.011,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:12.112,2021-11-24,14:10:12.112,"Alram_ana1",2021-11-24 14:10:12.066,100,100
2021-11-24 14:10:12.112,2021-11-24,14:10:12.112,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:12.112,2021-11-24,14:10:12.112,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:12.212,2021-11-24,14:10:12.212,"Alram_ana1",2021-11-24 14:10:12.066,100,100
2021-11-24 14:10:12.212,2021-11-24,14:10:12.212,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:12.212,2021-11-24,14:10:12.212,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:12.312,2021-11-24,14:10:12.312,"Alram_ana1",2021-11-24 14:10:12.066,100,100
2021-11-24 14:10:12.312,2021-11-24,14:10:12.312,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:12.312,2021-11-24,14:10:12.312,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:12:29.248,2021-11-24,14:12:29.248,"Alram_ana1",2021-11-24 14:12:29.243,95.2662721893491,95
2021-11-24 14:12:29.248,2021-11-24,14:12:29.248,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:29.248,2021-11-24,14:12:29.248,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:29.349,2021-11-24,14:12:29.349,"Alram_ana1",2021-11-24 14:12:29.291,100,100
2021-11-24 14:12:29.349,2021-11-24,14:12:29.349,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:29.349,2021-11-24,14:12:29.349,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:29.450,2021-11-24,14:12:29.450,"Alram_ana1",2021-11-24 14:12:29.291,100,100
2021-11-24 14:12:29.450,2021-11-24,14:12:29.450,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:29.450,2021-11-24,14:12:29.450,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:29.550,2021-11-24,14:12:29.550,"Alram_ana1",2021-11-24 14:12:29.291,100,100
2021-11-24 14:12:29.550,2021-11-24,14:12:29.550,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:29.550,2021-11-24,14:12:29.550,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:29.649,2021-11-24,14:12:29.649,"Alram_ana1",2021-11-24 14:12:29.635,96.2524654832347,96
2021-11-24 14:12:29.649,2021-11-24,14:12:29.649,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:29.649,2021-11-24,14:12:29.649,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:30.556,2021-11-24,14:12:30.556,"Alram_ana1",2021-11-24 14:12:30.555,95.2662721893491,95
2021-11-24 14:12:30.556,2021-11-24,14:12:30.556,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:30.556,2021-11-24,14:12:30.556,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:30.656,2021-11-24,14:12:30.656,"Alram_ana1",2021-11-24 14:12:30.619,100,100
2021-11-24 14:12:30.656,2021-11-24,14:12:30.656,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:30.656,2021-11-24,14:12:30.656,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:30.757,2021-11-24,14:12:30.757,"Alram_ana1",2021-11-24 14:12:30.619,100,100
2021-11-24 14:12:30.757,2021-11-24,14:12:30.757,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:30.757,2021-11-24,14:12:30.757,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:30.857,2021-11-24,14:12:30.857,"Alram_ana1",2021-11-24 14:12:30.619,100,100
2021-11-24 14:12:30.857,2021-11-24,14:12:30.857,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:30.857,2021-11-24,14:12:30.857,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:34.291,2021-11-24,14:12:34.291,"Alram_ana1",2021-11-24 14:12:34.291,96.8441814595661,97
2021-11-24 14:12:34.291,2021-11-24,14:12:34.291,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:34.291,2021-11-24,14:12:34.291,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:34.393,2021-11-24,14:12:34.393,"Alram_ana1",2021-11-24 14:12:34.299,100,100
2021-11-24 14:12:34.393,2021-11-24,14:12:34.393,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:34.393,2021-11-24,14:12:34.393,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:34.492,2021-11-24,14:12:34.492,"Alram_ana1",2021-11-24 14:12:34.299,100,100
2021-11-24 14:12:34.492,2021-11-24,14:12:34.492,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:34.492,2021-11-24,14:12:34.492,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:34.592,2021-11-24,14:12:34.592,"Alram_ana1",2021-11-24 14:12:34.299,100,100
2021-11-24 14:12:34.592,2021-11-24,14:12:34.592,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:34.592,2021-11-24,14:12:34.592,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:34.692,2021-11-24,14:12:34.692,"Alram_ana1",2021-11-24 14:12:34.299,100,100
2021-11-24 14:12:34.692,2021-11-24,14:12:34.692,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:34.692,2021-11-24,14:12:34.692,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:35.187,2021-11-24,14:12:35.187,"Alram_ana1",2021-11-24 14:12:35.187,97.2386587771203,97
2021-11-24 14:12:35.187,2021-11-24,14:12:35.187,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:35.187,2021-11-24,14:12:35.187,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:35.288,2021-11-24,14:12:35.288,"Alram_ana1",2021-11-24 14:12:35.195,100,100
